winner,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2
Randy Couture,0,0,27,8,3,0,4,1
Diego Sanchez,6,0,35,3,1,0,3,0
Georges St-Pierre,10,0,25,1,2,0,1,0
Matt Lindland,5,2,19,8,4,1,4,2
Trevor Prangley,2,0,54,9,0,0,5,0
James Irvin,0,2,6,12,0,0,0,2
David Loiseau,0,8,13,15,0,2,0,3
Chris Leben,0,1,5,5,1,2,0,1
Brandon Vera,0,1,28,10,0,0,0,1
Drew Fickett,1,10,5,8,3,0,0,6
Spencer Fisher,1,4,13,19,3,0,1,3
Jon Fitch,4,0,25,14,2,3,5,1
Jonathan Goulet,0,8,14,10,1,3,0,9
Andrei Arlovski,0,0,2,1,0,0,0,0
Branden Lee Hinkle,4,0,27,0,3,0,1,0
Forrest Griffin,0,0,30,18,0,0,0,0
Renato Sobral,0,0,11,12,3,0,4,0
Joe Riggs,1,2,15,3,1,0,1,1
Jorge Rivera,0,1,51,12,0,2,0,1
Marcio Cruz,1,1,12,1,1,1,0,2
Alessio Sakara,0,0,46,2,0,0,0,0
Diego Sanchez,3,0,41,13,1,1,5,2
Rashad Evans,3,2,48,42,0,1,0,2
