event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,winner
December 16 1994,Royce Gracie,Keith Hackney,0,0,11,4,3,0,0,0,Royce Gracie
December 16 1994,Dan Severn,Anthony Macias,1,0,0,8,1,0,2,0,Dan Severn
December 16 1994,Steve Jennum,Melton Bowen,2,0,13,1,1,0,2,0,Steve Jennum
December 16 1994,Keith Hackney,Joe Son,1,1,8,0,1,1,0,1,Keith Hackney
December 16 1994,Royce Gracie,Ron van Clief,3,0,7,0,1,0,1,0,Royce Gracie
December 16 1994,Guy Mezger,Jason Fairn,2,0,19,9,0,0,1,0,Guy Mezger
July 14 1995,Oleg Taktarov,David Abbott,1,1,4,17,4,1,0,2,Oleg Taktarov
July 14 1995,Ken Shamrock,Dan Severn,0,0,2,2,2,0,0,0,Ken Shamrock
July 14 1995,Oleg Taktarov,Anthony Macias,1,0,0,0,1,0,0,0,Oleg Taktarov
July 14 1995,David Abbott,Paul Varelans,1,0,14,1,0,0,1,0,David Abbott
July 14 1995,Oleg Taktarov,Dave Beneteau,0,0,0,5,1,0,0,1,Oleg Taktarov
July 14 1995,Patrick Smith,Rudyard Moncayo,1,0,6,0,1,0,2,0,Patrick Smith
July 14 1995,Paul Varelans,Cal Worsham,0,0,8,9,0,0,0,0,Paul Varelans
July 14 1995,David Abbott,John Matua,0,0,7,0,0,0,0,0,David Abbott
September 08 1995,Marco Ruas,Paul Varelans,1,0,33,10,0,1,0,0,Marco Ruas
September 08 1995,Ken Shamrock,Oleg Taktarov,1,0,29,4,1,0,1,0,Ken Shamrock
September 08 1995,Marco Ruas,Remco Pardoel,2,0,4,2,2,2,0,1,Marco Ruas
September 08 1995,Paul Varelans,Mark Hall,2,0,2,2,2,0,1,0,Paul Varelans
April 07 1995,Dan Severn,Dave Beneteau,1,0,2,2,1,0,1,0,Dan Severn
September 08 1995,Marco Ruas,Larry Cureton,1,0,1,6,3,1,1,0,Marco Ruas
September 08 1995,Remco Pardoel,Ryan Parker,2,0,0,0,1,0,1,0,Remco Pardoel
September 08 1995,Mark Hall,Harold Howard,0,0,1,4,0,0,0,1,Mark Hall
April 07 1995,Ken Shamrock,Royce Gracie,0,0,10,3,0,0,1,0,Ken Shamrock
April 07 1995,Dan Severn,Oleg Taktarov,1,0,9,0,0,0,1,0,Dan Severn
April 07 1995,Dave Beneteau,Todd Medina,2,0,8,0,0,0,1,0,Dave Beneteau
April 07 1995,Dan Severn,Joe Charles,2,0,2,1,1,0,1,0,Dan Severn
September 08 1995,Paul Varelans,Gerry Harris,3,0,4,0,0,0,1,0,Paul Varelans
September 08 1995,Scott Bessac,David Hood,0,0,1,2,2,0,0,0,Scott Bessac
December 16 1995,Dan Severn,Oleg Taktarov,5,0,24,8,0,1,0,0,Dan Severn
December 16 1995,Oleg Taktarov,Marco Ruas,0,0,6,14,1,0,0,0,Oleg Taktarov
April 07 1995,Oleg Taktarov,Ernie Verdicia,1,0,0,2,1,0,0,0,Oleg Taktarov
April 07 1995,Todd Medina,Larry Cureton,1,0,4,1,1,0,1,0,Todd Medina
